,user,item,rating
174,1,2644,4.0
587,6,46,4.0
197,1,2997,4.0
55,1,1031,5.0
940,7,4306,4.0
762,6,458,3.0
36,1,608,5.0
168,1,2596,5.0
593,6,62,4.0
394,4,1304,3.0
749,6,416,3.0
862,6,991,4.0
33,1,592,4.0
282,3,2851,5.0
20,1,356,4.0
60,1,1073,5.0
247,2,80489,4.5
731,6,362,3.0
542,5,380,2.0
644,6,207,4.0
829,6,708,4.0
267,3,914,0.5
63,1,1090,4.0
595,6,66,3.0
954,7,5378,0.5
442,4,2571,1.0
260,2,131724,5.0
805,6,588,5.0
825,6,694,3.0
349,4,899,4.0
687,6,288,2.0
947,7,4886,4.0
647,6,210,4.0
810,6,594,4.0
184,1,2858,5.0
812,6,596,3.0
264,3,688,0.5
229,1,3809,4.0
901,7,1220,4.5
807,6,590,5.0
627,6,168,5.0
850,6,839,3.0
490,4,4020,3.0
567,6,10,3.0
515,4,4967,5.0
880,7,356,5.0
343,4,648,3.0
953,7,5349,3.5
845,6,818,3.0
890,7,648,4.0
774,6,490,3.0
240,2,58559,4.5
720,6,351,4.0
959,7,5618,5.0
431,4,2203,4.0
403,4,1641,4.0
451,4,2770,2.0
112,1,1805,4.0
491,4,4021,4.0
134,1,2115,5.0
996,7,8984,4.0
739,6,377,5.0
471,4,3317,4.0
760,6,455,3.0
263,3,647,0.5
815,6,608,3.0
15,1,260,5.0
303,4,47,2.0
478,4,3508,5.0
921,7,2683,2.0
356,4,919,5.0
461,4,3033,4.0
158,1,2459,5.0
839,6,780,5.0
433,4,2282,1.0
418,4,1923,3.0
452,4,2791,5.0
199,1,3034,5.0
863,6,996,4.0
77,1,1220,5.0
307,4,125,5.0
855,6,880,3.0
96,1,1473,4.0
986,7,8870,3.5
503,4,4252,3.0
241,2,60756,5.0
218,1,3527,4.0
502,4,4246,4.0
785,6,515,4.0
665,6,250,4.0
93,1,1396,3.0
904,7,1270,5.0
368,4,1084,5.0
312,4,190,2.0
578,6,26,4.0
601,6,89,4.0
296,3,7991,5.0
974,7,8207,4.5
715,6,344,3.0
756,6,440,4.0
841,6,795,3.0
29,1,543,4.0
224,1,3703,5.0
12,1,223,3.0
236,2,6874,4.0
450,4,2763,1.0
243,2,71535,3.0
877,7,150,4.5
137,1,2139,5.0
362,4,1057,3.0
315,4,232,5.0
283,3,3024,4.5
466,4,3160,4.0
85,1,1270,5.0
83,1,1258,3.0
690,6,292,4.0
618,6,150,4.0
672,6,258,3.0
277,3,2080,0.5
305,4,58,3.0
508,4,4381,3.0
906,7,1584,5.0
511,4,4765,5.0
300,4,21,3.0
65,1,1097,5.0
203,1,3147,5.0
506,4,4308,1.0
69,1,1197,5.0
719,6,350,5.0
678,6,270,3.0
528,5,253,3.0
604,6,95,4.0
117,1,2000,4.0
958,7,5502,1.5
535,5,316,2.0
324,4,348,4.0
733,6,366,3.0
929,7,3408,4.5
849,6,838,4.0
278,3,2090,0.5
119,1,2012,4.0
365,4,1077,5.0
366,4,1079,2.0
847,6,835,4.0
317,4,247,3.0
444,4,2599,5.0
641,6,201,3.0
651,6,218,2.0
856,6,881,3.0
851,6,842,3.0
125,1,2054,4.0
721,6,352,3.0
603,6,93,4.0
787,6,520,3.0
778,6,497,3.0
702,6,317,4.0
631,6,177,3.0
86,1,1275,5.0
773,6,489,3.0
438,4,2390,5.0
480,4,3591,1.0
454,4,2858,5.0
292,3,5919,5.0
19,1,349,4.0
80,1,1226,5.0
592,6,61,4.0
293,3,6238,0.5
139,1,2143,4.0
497,4,4121,4.0
17,1,316,3.0
969,7,6934,2.0
128,1,2090,5.0
755,6,437,3.0
169,1,2616,4.0
580,6,31,3.0
441,4,2467,4.0
209,1,3273,5.0
637,6,189,3.0
342,4,608,5.0
748,6,415,4.0
448,4,2712,2.0
2,1,6,4.0
800,6,552,3.0
430,4,2186,5.0
522,5,58,5.0
837,6,765,3.0
569,6,13,3.0
658,6,234,2.0
899,7,1210,4.0
402,4,1617,2.0
42,1,780,3.0
824,6,667,3.0
633,6,180,2.0
729,6,360,3.0
75,1,1214,4.0
157,1,2450,4.0
37,1,648,3.0
790,6,531,3.0
201,1,3053,5.0
252,2,91658,2.5
94,1,1408,3.0
801,6,553,5.0
927,7,3114,4.5
215,1,3450,5.0
794,6,539,3.0
426,4,2109,4.0
70,1,1198,5.0
917,7,2529,5.0
804,6,587,5.0
791,6,532,3.0
560,6,2,4.0
381,4,1211,1.0
777,6,494,3.0
897,7,1196,4.0
208,1,3253,5.0
31,1,553,5.0
612,6,126,3.0
358,4,930,5.0
161,1,2492,4.0
827,6,700,4.0
217,1,3489,4.0
265,3,720,0.5
860,6,981,3.0
176,1,2654,5.0
405,4,1719,4.0
613,6,135,3.0
617,6,146,4.0
708,6,333,5.0
401,4,1597,1.0
782,6,508,4.0
99,1,1552,4.0
664,6,248,5.0
159,1,2470,5.0
237,2,8798,3.5
330,4,450,2.0
802,6,569,4.0
500,4,4226,2.0
533,5,296,5.0
408,4,1734,3.0
846,6,830,5.0
482,4,3809,3.0
770,6,477,4.0
388,4,1266,4.0
840,6,783,5.0
772,6,485,3.0
223,1,3702,5.0
823,6,662,3.0
501,4,4239,5.0
866,6,1006,4.0
629,6,171,3.0
310,4,171,3.0
999,7,30816,2.0
28,1,527,5.0
792,6,536,3.0
369,4,1086,5.0
398,4,1500,4.0
182,1,2797,4.0
683,6,277,5.0
884,7,587,2.0
316,4,235,2.0
469,4,3204,4.0
568,6,11,4.0
160,1,2478,4.0
709,6,336,3.0
545,5,474,4.0
976,7,8368,2.5
49,1,1009,3.0
745,6,405,3.0
932,7,3793,3.5
456,4,2921,4.0
662,6,240,3.0
71,1,1206,5.0
250,2,89774,5.0
788,6,524,3.0
170,1,2617,2.0
949,7,4963,4.0
384,4,1225,4.0
808,6,592,3.0
712,6,340,4.0
722,6,353,4.0
923,7,2701,1.5
332,4,475,5.0
415,4,1907,3.0
372,4,1136,5.0
525,5,153,3.0
129,1,2093,3.0
353,4,910,5.0
942,7,4370,4.5
464,4,3079,3.0
468,4,3176,4.0
163,1,2528,3.0
987,7,8907,1.0
968,7,6863,4.5
314,4,222,1.0
532,5,290,5.0
809,6,593,4.0
806,6,589,3.0
582,6,34,4.0
868,6,1049,5.0
608,6,105,3.0
925,7,2762,4.5
187,1,2916,4.0
930,7,3578,1.5
79,1,1224,5.0
46,1,940,5.0
886,7,589,2.5
754,6,435,3.0
876,7,58,3.0
885,7,588,3.0
724,6,355,4.0
775,6,491,4.0
783,6,509,3.0
18,1,333,5.0
736,6,370,4.0
249,2,86345,4.0
660,6,237,4.0
3,1,47,5.0
449,4,2762,4.0
706,6,330,3.0
900,7,1219,5.0
299,3,72378,0.5
858,6,891,3.0
302,4,45,3.0
338,4,588,4.0
133,1,2105,4.0
189,1,2947,5.0
84,1,1265,4.0
5,1,70,3.0
51,1,1024,5.0
639,6,195,4.0
255,2,109487,3.0
200,1,3052,5.0
865,6,1004,4.0
91,1,1348,4.0
64,1,1092,5.0
59,1,1060,4.0
682,6,276,4.0
228,1,3793,5.0
793,6,537,3.0
741,6,380,4.0
696,6,310,3.0
453,4,2843,5.0
685,6,281,4.0
714,6,343,3.0
407,4,1733,5.0
225,1,3729,5.0
634,6,181,3.0
122,1,2033,5.0
106,1,1644,3.0
820,6,637,4.0
226,1,3740,4.0
30,1,552,4.0
487,4,3996,4.0
291,3,5764,4.5
328,4,417,2.0
191,1,2949,5.0
279,3,2105,2.0
253,2,99114,3.5
214,1,3448,5.0
973,7,7445,4.0
966,7,6534,0.5
411,4,1883,4.0
185,1,2872,5.0
957,7,5464,3.0
367,4,1080,5.0
476,4,3481,2.0
298,3,70946,5.0
540,5,364,3.0
61,1,1080,5.0
698,6,313,3.0
462,4,3044,5.0
164,1,2529,5.0
796,6,542,4.0
413,4,1892,2.0
348,4,898,5.0
830,6,709,5.0
62,1,1089,5.0
611,6,113,3.0
374,4,1183,1.0
269,3,1124,0.5
233,2,333,4.0
970,7,7143,4.5
275,3,1587,4.5
127,1,2078,5.0
523,5,110,4.0
632,6,179,1.0
946,7,4874,3.0
666,6,251,3.0
297,3,26409,4.5
743,6,382,3.0
7,1,110,4.0
232,2,318,3.0
45,1,923,5.0
457,4,2926,5.0
235,2,3578,4.0
934,7,3916,4.0
344,4,708,4.0
74,1,1213,5.0
458,4,2959,2.0
238,2,46970,4.0
507,4,4347,4.0
435,4,2336,2.0
