,user,item,rating
99817,610,4299,3.0
56264,372,1080,2.0
18420,117,339,3.0
23324,160,908,3.0
72235,465,2109,4.0
96671,603,2500,4.0
53152,351,64622,3.5
74405,474,5218,3.0
23994,166,6157,2.5
99837,610,4553,4.0
42923,288,4881,4.0
81857,517,64034,4.0
96857,603,3255,3.0
82040,520,1732,3.5
66525,428,2949,3.0
89316,580,1,3.0
38702,266,541,5.0
95297,600,1247,3.5
88566,572,1173,1.0
16970,107,1,4.0
23454,160,2012,4.0
32290,221,608,5.0
16308,105,2495,5.0
28799,199,3082,3.0
93522,599,2846,3.5
17342,111,2694,3.0
18530,118,1961,5.0
62992,414,2072,3.0
53530,353,223,5.0
26832,182,4874,4.5
36042,246,4246,4.0
86614,561,440,2.5
9346,63,8874,5.0
72791,469,2683,2.0
69074,448,2683,4.5
7780,51,60487,5.0
94000,599,5139,1.5
76688,480,4701,2.5
80995,511,122916,4.0
92355,597,1485,2.0
67381,436,274,3.0
20789,137,1244,3.5
91126,590,8167,4.0
15684,103,1968,4.0
96464,603,1414,4.0
73178,474,317,2.0
80642,509,45447,3.0
97732,606,2206,4.0
27055,182,8949,4.5
14240,91,653,2.5
56825,378,63082,3.5
22201,148,88125,4.0
97338,605,60040,3.5
32417,221,2321,4.5
29111,200,4308,5.0
64140,414,6383,2.5
41137,279,7153,4.0
15830,103,46723,4.5
12368,76,63436,4.5
20470,135,1769,2.0
11218,68,27831,3.0
27867,190,2959,4.0
39966,274,5165,4.0
81217,514,2115,4.0
89836,582,96610,2.5
21796,141,6539,4.0
70155,448,103772,2.5
42353,288,1367,3.0
6040,42,1476,4.0
14409,91,2144,2.0
86023,559,255,2.0
56849,379,161,4.0
44871,298,5618,4.0
20714,136,551,3.0
83902,534,71264,4.5
100712,610,114180,3.5
32448,221,3039,4.0
69518,448,6373,3.0
70676,452,1097,5.0
42814,288,3681,3.0
32908,223,33794,4.0
13377,85,1237,5.0
36719,249,6242,4.0
93766,599,3962,1.5
26550,182,2947,4.0
78844,489,4014,3.5
87044,561,103228,3.5
18958,122,4979,5.0
19404,125,75985,4.5
29322,201,1527,4.0
34078,232,4148,4.5
41389,280,52973,5.0
29193,200,8973,3.5
36467,249,1265,4.5
44325,294,3052,5.0
80987,511,107406,3.5
47728,308,339,1.0
72522,469,903,5.0
19773,129,5618,4.5
41872,286,454,4.0
56919,380,293,5.0
28210,195,2880,1.0
74774,474,7190,3.5
98426,606,48744,3.5
43375,290,2384,3.0
100675,610,109968,5.0
13626,89,3255,3.0
99365,608,6193,4.5
27197,184,122926,4.0
54750,362,111,5.0
8554,58,277,5.0
7457,51,520,4.5
97781,606,2470,2.5
34445,232,39292,3.0
93418,599,2428,3.0
42230,288,963,3.0
54755,362,356,4.5
57040,380,1228,3.0
65992,425,1291,4.0
52127,339,4874,4.0
56814,378,7153,4.5
18081,113,3108,2.0
96665,603,2463,3.0
81497,515,122916,5.0
32324,221,1103,4.0
4305,28,1374,2.5
67576,437,1293,5.0
53068,351,1073,4.0
43921,292,115149,3.0
92019,596,68358,4.0
22087,144,6591,3.5
36672,249,4896,4.0
38486,264,2571,4.5
81562,517,509,3.5
22965,156,2947,2.0
73254,474,628,3.0
78245,485,590,5.0
84676,546,2399,3.0
9938,64,40815,4.0
24890,176,485,3.0
59090,385,1035,3.0
2945,19,3692,3.0
63838,414,5009,4.0
60311,389,719,4.0
92545,597,2712,3.0
33099,226,432,3.0
90125,586,5952,5.0
12331,76,6016,3.0
23536,160,2717,4.0
90829,590,2396,4.0
4000,24,94777,4.0
11562,68,91630,3.0
83703,534,3751,4.0
82689,525,1259,4.0
18583,119,4993,5.0
98883,608,1275,2.5
7404,50,172013,3.0
63132,414,2425,4.0
80078,503,356,4.0
27114,183,3107,5.0
95719,600,5991,4.0
2750,19,2467,3.0
15781,103,5618,4.0
37110,249,86293,3.0
79617,495,6539,2.5
88919,573,58559,5.0
86004,559,145,3.0
56502,375,595,3.0
74872,474,8153,2.5
78598,489,938,4.5
12258,75,8961,4.0
100651,610,105801,3.0
86674,561,1321,4.0
67396,436,356,4.0
17019,108,1095,2.0
15211,98,71745,0.5
84495,542,6874,2.5
44627,298,1387,3.0
30352,212,8972,3.5
62223,412,2724,4.0
54925,365,2005,3.0
84249,539,318,4.0
99879,610,5049,4.5
19538,125,151455,4.0
45172,298,62434,1.5
10486,68,647,3.5
35831,243,181,3.0
51195,331,10,3.0
67692,438,1302,4.0
16388,105,4369,4.0
41436,280,94677,1.5
91792,596,1265,3.0
100616,610,102070,3.0
99972,610,6595,3.5
70229,448,111360,2.5
80643,509,45672,1.0
92392,597,1754,3.0
95452,600,2329,4.0
91655,594,4827,3.0
28006,191,608,5.0
24084,167,671,4.0
16568,105,33660,4.5
100510,610,87306,3.5
41047,278,50,5.0
85915,557,1485,4.5
81930,517,167746,1.0
63436,414,3513,1.5
45621,301,8360,4.0
4494,28,6333,2.5
7742,51,7147,4.0
27154,184,84187,3.0
43880,292,91658,1.5
27284,185,2692,4.0
88091,567,134130,3.0
22142,146,6383,1.5
4872,30,108932,4.0
12928,82,6548,4.5
5806,41,55820,5.0
76107,479,2028,3.0
20099,132,3264,1.0
37175,249,93270,3.0
48612,314,163,3.0
58957,384,4321,2.0
79030,489,49272,3.5
47623,307,51091,3.0
29623,202,2243,4.0
44143,294,1461,1.0
56493,374,1339,3.0
83481,531,4284,3.0
20564,135,3264,2.0
15445,100,7149,3.5
42672,288,2872,3.0
80147,503,48516,4.0
86117,559,1356,4.0
88134,567,153070,3.5
99031,608,2282,3.0
6825,45,4980,2.0
83906,534,72378,4.0
58301,381,3948,3.0
83357,528,2278,5.0
56366,373,6,5.0
42371,288,1425,3.5
3515,21,87520,3.5
71223,455,318,5.0
64394,414,31445,2.0
36680,249,5093,3.0
58290,381,3552,2.0
25776,177,104841,3.0
5126,33,1545,5.0
95308,600,1282,2.5
15209,98,69644,1.5
46784,307,260,3.5
41219,279,112552,3.5
1946,18,3052,4.5
10660,68,1835,3.0
76696,480,4756,2.0
74342,474,4799,1.5
54529,358,49130,4.0
99272,608,4638,3.0
58916,384,2245,3.0
53345,352,45730,3.0
20523,135,2560,3.0
96165,603,265,2.0
53425,352,91485,2.5
19462,125,99813,4.5
87263,562,8874,2.5
20482,135,1968,4.0
14304,91,1242,4.0
60539,391,1245,5.0
16330,105,3306,4.5
78835,489,3863,3.5
96813,603,3055,3.0
52701,345,5404,4.5
84044,534,111113,3.5
39674,274,2692,2.5
75120,474,44709,4.5
28724,199,1777,3.0
81824,517,45722,3.5
50276,325,1270,4.0
41826,285,904,5.0
54073,356,44191,3.5
44168,294,1784,3.0
31115,217,1370,4.0
79204,490,69844,3.0
39998,274,5588,3.5
53230,352,1619,5.0
86472,560,63082,3.5
95692,600,5339,3.5
32893,223,6331,4.0
97776,606,2436,3.5
50443,325,4956,5.0
81005,512,110,5.0
41626,282,5349,4.0
8053,57,141,4.0
33121,226,595,2.5
52095,339,2973,3.5
75735,477,3608,4.0
6483,45,21,4.0
18145,114,122904,3.5
740,6,378,3.0
17625,111,68157,4.5
55355,367,3884,1.0
85425,555,1170,2.0
79075,489,69951,3.0
70693,452,1258,4.0
26693,182,3869,2.5
20416,135,1230,4.0
51782,334,52973,3.0
93359,599,2292,2.5
24955,177,551,4.0
13335,84,1280,5.0
16039,104,2424,4.5
58323,381,4343,2.0
87387,563,7375,3.0
68168,438,32587,4.0
53256,352,2288,5.0
93754,599,3897,3.5
23139,159,357,2.5
82035,520,1580,5.0
89003,575,2496,3.0
29252,200,56757,4.5
54043,356,7438,3.5
50917,328,128360,3.0
18178,115,919,4.0
11462,68,67618,5.0
22107,145,300,3.0
86449,560,55232,3.5
26688,182,3858,4.0
34852,233,51086,2.5
83846,534,57640,4.0
31923,219,8917,4.0
56004,370,353,1.5
18836,122,70,4.5
49390,318,32906,3.5
92760,599,344,2.5
92945,599,892,3.5
100100,610,27706,3.5
20634,136,160,3.0
49623,318,78836,5.0
87527,563,134393,4.5
67899,438,4306,4.5
42172,288,440,3.5
4501,28,6539,2.0
94858,599,93208,2.0
85385,555,724,5.0
11430,68,60941,2.0
65527,420,5265,3.5
51188,330,61240,5.0
7339,50,104913,2.5
64429,414,34405,3.5
86364,560,8910,3.5
92932,599,836,2.0
27524,186,5349,4.0
47200,307,3705,2.5
55054,365,80693,1.5
56409,373,266,4.0
39870,274,4148,3.0
34361,232,30825,3.0
33972,232,1586,2.5
16469,105,6643,3.5
8586,58,435,3.0
34305,232,8665,4.5
32601,222,293,3.0
67546,437,805,4.0
18821,121,497,3.0
14233,91,595,3.0
27701,187,6857,5.0
24529,169,5785,4.5
21967,143,106696,4.0
82842,525,5669,4.0
56141,372,39,3.0
71430,459,95510,3.0
44254,294,2382,1.0
35116,235,32,4.0
27261,185,34,2.0
67314,435,50,4.0
25011,177,953,4.5
38715,266,1042,3.0
76059,479,351,2.0
36183,247,318,4.5
2535,19,1409,3.0
95151,600,277,2.0
85991,559,34,5.0
36387,249,111,4.5
98375,606,37729,4.5
63056,414,2244,1.0
84624,544,1356,5.0
5407,38,296,3.0
45410,298,112138,2.0
66372,428,150,2.0
16936,105,179133,5.0
56778,377,35836,4.5
91940,596,6541,3.0
85225,554,926,4.0
68198,438,43928,0.5
58063,380,163056,4.0
64794,414,78467,1.5
80895,510,2395,4.5
19468,125,105213,4.5
56738,377,4370,3.5
38816,266,2700,5.0
51260,331,7143,4.0
82734,525,2291,4.0
63494,414,3745,4.0
100526,610,89745,5.0
32705,222,4844,2.5
90975,590,3871,4.5
21340,140,2858,4.0
95968,602,11,3.0
93783,599,4010,2.0
85615,555,2346,3.0
11217,68,27773,1.0
21128,140,356,4.0
26578,182,3062,4.0
70355,448,131013,2.0
90867,590,2716,4.0
73350,474,1013,3.0
67754,438,2167,4.0
6476,44,1639,5.0
46532,305,107314,2.5
6888,46,185,4.0
18236,115,2921,5.0
16737,105,88125,4.0
5959,42,524,3.0
40339,274,46965,3.0
35063,234,2710,5.0
62093,411,377,3.0
39961,274,5094,2.0
64231,414,7034,5.0
25566,177,51086,2.0
69134,448,2993,4.5
87463,563,80549,3.5
80161,503,93272,2.5
69710,448,47810,1.0
59399,387,1198,4.0
67779,438,2605,3.5
70309,448,119068,2.0
8978,62,60126,3.0
89238,578,76251,4.5
45510,300,4848,4.0
45609,301,4963,4.0
7655,51,3614,3.5
50048,322,3052,2.0
15203,98,60040,4.0
10268,66,6238,3.0
60128,387,8874,3.0
8964,62,55908,4.0
18543,119,315,4.0
26316,182,1358,4.0
77604,483,4356,3.5
82290,522,3243,1.5
40530,274,73321,3.5
77981,484,595,5.0
86537,560,102194,4.0
49394,318,33493,3.0
26107,182,44,1.5
2121,18,62434,3.5
73439,474,1240,4.0
61261,401,112852,3.5
22444,153,1193,3.0
85384,555,720,4.0
9425,63,115617,5.0
55602,368,1676,2.0
99095,608,2808,1.0
75795,477,5265,3.0
63991,414,5574,3.0
98759,608,455,1.0
98744,608,379,3.0
83514,532,1721,5.0
12880,82,4886,1.5
89736,580,45880,4.0
100115,610,30825,3.0
80972,511,59387,4.0
43177,289,1101,2.0
73342,474,982,3.0
2077,18,44665,4.5
65383,419,5418,3.0
38666,266,6,4.0
82014,520,1136,5.0
75579,477,1527,4.0
51157,330,4896,4.5
2937,19,3622,3.0
26604,182,3253,4.0
23851,165,5620,3.0
18683,119,101142,4.0
7954,54,480,3.0
43125,288,45517,3.0
95126,600,160,2.5
47964,310,2797,3.5
90130,586,6539,5.0
95130,600,181,2.5
99844,610,4720,4.0
33228,226,2080,3.0
20409,135,1206,5.0
87183,562,2692,4.0
39965,274,5151,2.5
65251,418,5816,4.5
37497,252,134853,5.0
73406,474,1196,5.0
33146,226,1029,3.5
18493,117,783,4.0
25758,177,95558,2.5
29798,203,2571,2.5
33575,227,2396,4.0
74114,474,3606,3.5
26670,182,3744,3.5
12263,75,44199,3.0
68060,438,6754,3.0
61079,398,1028,5.0
3828,23,1243,3.5
46892,307,1042,2.5
86244,560,3578,4.0
96274,603,835,4.0
57757,380,52952,4.0
85244,554,1282,1.0
10061,66,1197,4.0
88849,573,6502,4.5
99729,610,3484,2.5
266,3,849,5.0
33378,226,4816,3.0
6478,45,5,3.0
79464,493,3527,4.0
25442,177,8464,4.5
78540,489,455,0.5
28214,195,2918,5.0
30777,216,1269,4.0
50192,324,3915,4.0
61134,399,1270,5.0
37016,249,69844,4.0
22141,146,5810,3.5
51981,338,5952,3.0
47574,307,40819,4.5
15740,103,3481,4.5
89740,580,48516,4.5
6953,47,2762,3.0
48901,317,40819,4.0
95280,600,1197,5.0
76069,479,616,4.0
30343,212,8361,3.0
42666,288,2852,4.0
46147,305,3949,5.0
4958,32,265,5.0
82735,525,2324,4.0
96068,602,481,3.0
21499,140,4903,4.0
58687,382,6593,3.5
83299,527,3072,4.0
100269,610,54995,3.5
66952,432,6870,3.0
84792,550,86332,4.0
22540,153,72641,1.0
74211,474,4063,2.0
41954,286,6377,5.0
5771,41,7444,2.5
8158,57,908,5.0
38366,263,3147,4.0
9919,64,27020,3.5
58734,382,45447,3.0
4236,28,527,3.0
85705,555,2748,1.0
15462,101,2433,3.0
87750,566,316,4.0
21443,140,4056,4.0
23845,165,5502,4.0
76599,480,3578,4.5
95448,600,2318,2.5
31193,217,1762,1.0
93657,599,3423,2.0
95802,600,27879,4.0
77037,480,46976,4.0
45428,298,119145,3.5
40206,274,26870,3.5
28124,195,1036,5.0
97014,603,4708,4.0
46389,305,68319,4.0
81184,514,1721,4.0
98776,608,543,3.5
37342,249,122890,4.0
70996,453,2542,5.0
72168,464,79132,5.0
52745,346,912,4.5
74057,474,3393,2.0
79747,495,122882,4.5
80116,503,2918,3.5
57717,380,45666,2.0
41184,279,83134,3.5
14353,91,1552,3.0
63807,414,4901,3.0
21474,140,4623,4.0
52120,339,4306,4.0
57232,380,2804,4.0
33143,226,1021,3.0
47532,307,32011,1.5
4554,28,8937,2.5
88457,571,1976,3.0
57693,380,40732,5.0
44009,294,370,3.0
58534,381,56757,4.5
5288,35,266,2.0
31826,219,4896,2.5
56771,377,25771,5.0
10066,66,1206,5.0
32647,222,1393,3.5
89040,576,1188,1.0
68103,438,7445,4.0
22199,148,81834,4.0
66686,429,256,4.0
833,6,719,2.0
22538,153,69757,3.5
87360,563,3791,3.0
83729,534,5219,4.0
51098,330,2054,3.0
28909,199,37741,3.5
59426,387,1237,5.0
80268,505,2083,5.0
91207,590,55820,4.0
16732,105,86345,4.5
53308,352,4014,4.5
66917,432,4306,4.5
89280,579,1923,5.0
52732,346,492,4.0
10578,68,1302,3.0
37564,254,293,4.5
88253,570,353,3.0
4825,29,26729,4.0
5812,41,59900,2.5
39119,271,2021,3.5
93508,599,2796,2.5
17643,111,73017,3.5
21125,140,349,4.0
72450,468,590,5.0
28961,200,508,3.5
12588,80,5630,4.5
53853,356,356,4.0
32961,224,3358,5.0
66136,425,6333,3.0
34748,232,78893,2.0
94081,599,5843,1.5
67067,433,1089,4.0
49296,318,6440,3.5
91071,590,6157,2.0
51078,330,1580,4.0
13832,89,80860,2.5
48960,317,91535,3.0
15473,101,2692,4.0
7799,52,3996,4.5
10688,68,2006,4.0
3444,21,51084,3.5
34853,233,54286,3.0
4746,28,64983,2.5
50292,325,1527,3.0
8922,62,33794,5.0
100383,610,69275,4.0
18152,115,34,2.0
6650,45,1769,3.0
3759,22,56367,0.5
33861,230,41566,4.5
23830,165,4351,3.0
73099,474,16,4.0
30552,213,4306,4.5
74088,474,3502,2.5
69304,448,4153,2.0
4191,27,3809,1.0
15602,103,551,4.0
77675,483,6870,4.0
14730,93,158,4.0
96520,603,1717,3.0
69662,448,33004,3.0
81722,517,3147,4.0
31829,219,4975,3.5
35269,238,1608,4.0
96170,603,293,2.0
10011,66,480,3.0
55678,368,2373,2.0
3542,21,99114,3.5
23449,160,2002,4.0
7413,50,175705,3.5
85365,555,542,4.0
11140,68,7137,3.5
